Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.56it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.59it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.34it/s]
{"update": 53, "examples_seen": 424, "supervised_tokens": 1542, "loss": 0.0001430369995887304, "gradient_norm": 0.020078064873814583, "learning_rate": 0.0001, "seconds": 3.066879262999919, "elapsed_training_seconds": 164.39829119900014}
{"update": 54, "examples_seen": 432, "supervised_tokens": 1221, "loss": 4.753896109832567e-05, "gradient_norm": 0.002502292627468705, "learning_rate": 0.0001, "seconds": 3.1724325940001563, "elapsed_training_seconds": 167.57223417900013}
{"update": 55, "examples_seen": 440, "supervised_tokens": 1250, "loss": 3.827586772331415e-05, "gradient_norm": 0.0020934853237122297, "learning_rate": 0.0001, "seconds": 3.076856551999981, "elapsed_training_seconds": 170.6506688490001}
{"update": 56, "examples_seen": 448, "supervised_tokens": 1612, "loss": 1.4530319276673254e-05, "gradient_norm": 0.0004238522669766098, "learning_rate": 0.0001, "seconds": 3.1278726259999985, "elapsed_training_seconds": 173.78150548600001}
{"update": 57, "examples_seen": 456, "supervised_tokens": 1648, "loss": 1.1828972219518619e-05, "gradient_norm": 0.00020993863290641457, "learning_rate": 0.0001, "seconds": 3.290460766000024, "elapsed_training_seconds": 177.07373947400015}
{"update": 58, "examples_seen": 464, "supervised_tokens": 1512, "loss": 1.5039232494018506e-05, "gradient_norm": 0.0005888636806048453, "learning_rate": 0.0001, "seconds": 3.0623479539999607, "elapsed_training_seconds": 180.13781297000014}
{"update": 59, "examples_seen": 472, "supervised_tokens": 1690, "loss": 0.0001960738663910888, "gradient_norm": 0.011379093863070011, "learning_rate": 0.0001, "seconds": 3.181516123999927, "elapsed_training_seconds": 183.3209460610001}
{"update": 60, "examples_seen": 480, "supervised_tokens": 1433, "loss": 1.1391712632757844e-05, "gradient_norm": 0.00038898532511666417, "learning_rate": 0.0001, "seconds": 3.176407769999969, "elapsed_training_seconds": 186.49902011100016}
{"update": 61, "examples_seen": 488, "supervised_tokens": 1533, "loss": 5.3638762665286777e-05, "gradient_norm": 0.00331664877012372, "learning_rate": 0.0001, "seconds": 3.0629894789999526, "elapsed_training_seconds": 189.56356755800016}
{"update": 62, "examples_seen": 496, "supervised_tokens": 1404, "loss": 4.021525501229917e-05, "gradient_norm": 0.00428619934245944, "learning_rate": 0.0001, "seconds": 3.246469339999976, "elapsed_training_seconds": 192.8117802600002}
{"update": 63, "examples_seen": 504, "supervised_tokens": 1582, "loss": 4.4938544306205586e-05, "gradient_norm": 0.0038285546470433474, "learning_rate": 0.0001, "seconds": 3.1072233400000187, "elapsed_training_seconds": 195.92071209200003}
{"update": 64, "examples_seen": 512, "supervised_tokens": 1190, "loss": 7.598247634632571e-06, "gradient_norm": 0.00011347349936841056, "learning_rate": 0.0001, "seconds": 2.8114005150000594, "elapsed_training_seconds": 198.7334979000002}
{"update": 65, "examples_seen": 520, "supervised_tokens": 1305, "loss": 1.0217645126431307e-05, "gradient_norm": 0.00021046375331934541, "learning_rate": 0.0001, "seconds": 2.9584585229999902, "elapsed_training_seconds": 201.69357649000017}
{"update": 66, "examples_seen": 528, "supervised_tokens": 1478, "loss": 0.0006441583745981916, "gradient_norm": 0.07302489131689072, "learning_rate": 0.0001, "seconds": 3.034633829000086, "elapsed_training_seconds": 204.72970517500016}
{"update": 67, "examples_seen": 536, "supervised_tokens": 1504, "loss": 1.0757819723039574e-05, "gradient_norm": 0.00035586481681093574, "learning_rate": 0.0001, "seconds": 3.0982740970000577, "elapsed_training_seconds": 207.82948474800014}
