Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.47it/s]Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.55it/s]Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.27it/s]
{"update": 92, "examples_seen": 736, "supervised_tokens": 1528, "loss": 0.0001138439529313473, "gradient_norm": 0.012279709801077843, "learning_rate": 0.0001, "seconds": 3.0683188120000295, "elapsed_training_seconds": 287.4735290279999}
{"update": 93, "examples_seen": 744, "supervised_tokens": 1200, "loss": 1.619212594050623e-05, "gradient_norm": 0.00036041397834196687, "learning_rate": 0.0001, "seconds": 3.0997961209999403, "elapsed_training_seconds": 290.574916434}
{"update": 94, "examples_seen": 752, "supervised_tokens": 1644, "loss": 1.1231888834117854e-05, "gradient_norm": 0.0001725858310237527, "learning_rate": 0.0001, "seconds": 3.279963852000037, "elapsed_training_seconds": 293.85633053699996}
{"update": 95, "examples_seen": 760, "supervised_tokens": 1619, "loss": 9.716476142784813e-06, "gradient_norm": 0.00014219811419025064, "learning_rate": 0.0001, "seconds": 3.0752659150000454, "elapsed_training_seconds": 296.9332391989999}
{"update": 96, "examples_seen": 768, "supervised_tokens": 1753, "loss": 1.1602761333051603e-05, "gradient_norm": 0.0002081667771562934, "learning_rate": 0.0001, "seconds": 3.1451184459999695, "elapsed_training_seconds": 300.0797154459999}
{"update": 97, "examples_seen": 776, "supervised_tokens": 1649, "loss": 1.005549688670726e-05, "gradient_norm": 0.0001522556267445907, "learning_rate": 0.0001, "seconds": 3.336493967000024, "elapsed_training_seconds": 303.417560363}
{"update": 98, "examples_seen": 784, "supervised_tokens": 1591, "loss": 1.5209869616228389e-05, "gradient_norm": 0.00025160942459478974, "learning_rate": 0.0001, "seconds": 3.124051459000043, "elapsed_training_seconds": 306.54303567399995}
{"update": 99, "examples_seen": 792, "supervised_tokens": 1503, "loss": 1.420932051132695e-05, "gradient_norm": 0.00037726215668953955, "learning_rate": 0.0001, "seconds": 3.2171001140000044, "elapsed_training_seconds": 309.76149611999995}
{"update": 100, "examples_seen": 800, "supervised_tokens": 1702, "loss": 1.0312342055840418e-05, "gradient_norm": 0.00015500250447075814, "learning_rate": 0.0001, "seconds": 3.164515118000054, "elapsed_training_seconds": 312.928210487}
{"update": 101, "examples_seen": 808, "supervised_tokens": 1623, "loss": 1.509233777596819e-05, "gradient_norm": 0.00041861869976855814, "learning_rate": 0.0001, "seconds": 3.1600726189999477, "elapsed_training_seconds": 316.089614205}
{"update": 102, "examples_seen": 816, "supervised_tokens": 1382, "loss": 1.1716649396475987e-05, "gradient_norm": 0.00039069587364792824, "learning_rate": 0.0001, "seconds": 3.3066127729999835, "elapsed_training_seconds": 319.3976517499999}
{"update": 103, "examples_seen": 824, "supervised_tokens": 1531, "loss": 1.5078415799507638e-05, "gradient_norm": 0.0002996392431668937, "learning_rate": 0.0001, "seconds": 3.1499651840000524, "elapsed_training_seconds": 322.549009255}
{"update": 104, "examples_seen": 832, "supervised_tokens": 1370, "loss": 3.557321258540469e-05, "gradient_norm": 0.001851010019890964, "learning_rate": 0.0001, "seconds": 2.8508456419999675, "elapsed_training_seconds": 325.40133981099996}
{"update": 105, "examples_seen": 840, "supervised_tokens": 1679, "loss": 1.319970851909602e-05, "gradient_norm": 0.0010195417562499642, "learning_rate": 0.0001, "seconds": 3.284215845999938, "elapsed_training_seconds": 328.68705614099997}
{"update": 106, "examples_seen": 848, "supervised_tokens": 1360, "loss": 1.1393979661988851e-05, "gradient_norm": 0.00021142084733583033, "learning_rate": 0.0001, "seconds": 3.10406066500002, "elapsed_training_seconds": 331.7925629079999}
{"update": 107, "examples_seen": 856, "supervised_tokens": 1384, "loss": 9.962506851479702e-06, "gradient_norm": 0.0001363603660138324, "learning_rate": 0.0001, "seconds": 2.853830635999998, "elapsed_training_seconds": 334.647927678}
{"update": 108, "examples_seen": 864, "supervised_tokens": 1243, "loss": 7.56365091092448e-06, "gradient_norm": 0.00011032639304175973, "learning_rate": 0.0001, "seconds": 2.6730200909998985, "elapsed_training_seconds": 337.322365313}
{"update": 109, "examples_seen": 872, "supervised_tokens": 1436, "loss": 1.1515631967995432e-05, "gradient_norm": 0.0001742910098982975, "learning_rate": 0.0001, "seconds": 3.0747131789999003, "elapsed_training_seconds": 340.39861366699995}
{"update": 110, "examples_seen": 880, "supervised_tokens": 1516, "loss": 9.898332791635767e-06, "gradient_norm": 0.00016880575276445597, "learning_rate": 0.0001, "seconds": 3.255076976000055, "elapsed_training_seconds": 343.65516644699994}
{"update": 111, "examples_seen": 888, "supervised_tokens": 1632, "loss": 1.266798130927782e-05, "gradient_norm": 0.0004036711761727929, "learning_rate": 0.0001, "seconds": 3.1586177010000256, "elapsed_training_seconds": 346.81526033299997}
{"update": 112, "examples_seen": 896, "supervised_tokens": 1419, "loss": 5.235539788372989e-05, "gradient_norm": 0.002555812243372202, "learning_rate": 0.0001, "seconds": 2.827942986000039, "elapsed_training_seconds": 349.6444851289999}
{"update": 113, "examples_seen": 904, "supervised_tokens": 1415, "loss": 7.411565547954524e-06, "gradient_norm": 9.450446668779477e-05, "learning_rate": 0.0001, "seconds": 3.18964090399993, "elapsed_training_seconds": 352.8356687779999}
{"update": 114, "examples_seen": 912, "supervised_tokens": 1398, "loss": 1.915217558234872e-05, "gradient_norm": 0.001658778521232307, "learning_rate": 0.0001, "seconds": 3.142195418999904, "elapsed_training_seconds": 355.97909295599993}
{"update": 115, "examples_seen": 920, "supervised_tokens": 1305, "loss": 4.0549079358243034e-05, "gradient_norm": 0.003384294919669628, "learning_rate": 0.0001, "seconds": 3.121622479999928, "elapsed_training_seconds": 359.10217035999995}
{"update": 116, "examples_seen": 928, "supervised_tokens": 1434, "loss": 1.1607919759626384e-05, "gradient_norm": 0.0005019422387704253, "learning_rate": 0.0001, "seconds": 2.9699273699999367, "elapsed_training_seconds": 362.073447353}
{"update": 117, "examples_seen": 936, "supervised_tokens": 1445, "loss": 6.8153325400999165e-06, "gradient_norm": 8.022007386898622e-05, "learning_rate": 0.0001, "seconds": 3.1099472900000364, "elapsed_training_seconds": 365.1848325049999}
